,Time,SUN_X,SUN_Y,SUN_Z,199_X,199_Y,199_Z,299_X,299_Y,299_Z,399_X,399_Y,399_Z,301_X,301_Y,301_Z,-74_X,-74_Y,-74_Z,599_X,599_Y,599_Z,699_X,699_Y,699_Z,433_X,433_Y,433_Z,Eros_X,Eros_Y,Eros_Z,Orus_X,Orus_Y,Orus_Z,-49_X,-49_Y,-49_Z,-490_X,-490_Y,-490_Z,-255_X,-255_Y,-255_Z,2000016_X,2000016_Y,2000016_Z,90000188_X,90000188_Y,90000188_Z,90000190_X,90000190_Y,90000190_Z,90000191_X,90000191_Y,90000191_Z,Leucus_X,Leucus_Y,Leucus_Z,Eurybates_X,Eurybates_Y,Eurybates_Z,Polymele_X,Polymele_Y,Polymele_Z,Vesta_X,Vesta_Y,Vesta_Z,Mathilde_X,Mathilde_Y,Mathilde_Z,Lutetia_X,Lutetia_Y,Lutetia_Z,Donaldjohanson_X,Donaldjohanson_Y,Donaldjohanson_Z,Braille_X,Braille_Y,Braille_Z,Annefrank_X,Annefrank_Y,Annefrank_Z,Bennu_X,Bennu_Y,Bennu_Z,Itokawa_X,Itokawa_Y,Itokawa_Z,-64_X,-64_Y,-64_Z,Apophis_X,Apophis_Y,Apophis_Z,Ryugu_X,Ryugu_Y,Ryugu_Z,-122911_X,-122911_Y,-122911_Z,Patroclus_X,Patroclus_Y,Patroclus_Z,90000855_X,90000855_Y,90000855_Z,Dinkinesh_X,Dinkinesh_Y,Dinkinesh_Z,20065803_X,20065803_Y,20065803_Z,Gaspra_X,Gaspra_Y,Gaspra_Z,Ceres_X,Ceres_Y,Ceres_Z
0,1980-01-01,0.00790979,-0.00053531,-0.00048341,-0.2050047,-0.37172113,-0.17664954,0.73245617,-0.01760921,-0.054031,-0.16287384,0.88787368,0.38473915,99.0,99.0,99.0,99,99,99,-4.71061406,2.32932091,1.11328116,-9.29961461,1.15038967,0.87481255,1.26306351,0.45902632,0.4871504,-27.10249122,-12.58211913,4.23887183,-5.00130578,-1.33954077,-1.31812787,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,2.93563594,3.18049981,1.0672091,2.93567478,3.18042153,1.06716081,-3.03672897,-4.07007978,-2.0812311,-4.47822039,-2.92356047,-1.14134887,-4.88467429,-2.52820066,-0.55581539,1.48860267,1.99614571,0.60005109,99.0,99.0,99.0,-2.74356141,-0.11164015,0.10972724,2.15905236,0.73152079,0.48916567,1.48708417,2.76653307,1.14775742,2.2682689,-0.41377048,-0.31567374,-0.2820158,-1.16020703,-0.65308467,-0.48212757,-0.75540224,-0.32100144,99,99,99,0.51820107,0.66429149,0.26069514,-0.3339402,-1.23410488,-0.52520932,99,99,99,-1.14250575,3.88985788,3.62002355,3.32386271,-2.43199686,-1.07570975,2.1747045,-0.26104106,-0.15673208,99,99,99,-0.59500465,1.8828861,0.72653597,2.48418708,1.45704283,0.17905915
1,1980-01-02,0.00791341,-0.00052821,-0.00048048,-0.18538388,-0.38070366,-0.1834839,0.73312126,0.00076385,-0.0458086,-0.18005893,0.88494207,0.38346743,-0.18035369,0.88737766,0.38431886,99,99,99,-4.71432056,2.32352357,1.11088632,-9.30074487,1.14526165,0.87274356,1.25382084,0.46950257,0.49144079,-27.10108607,-12.58503932,4.23749601,-4.99917499,-1.3461981,-1.32046261,99,99,99,99,99,99,99,99,99,99,99,99,2.93270452,3.18494503,1.07007882,99.0,99.0,99.0,2.93270711,3.1849579,1.07007718,-3.03095285,-4.07419593,-2.08150792,99.0,99.0,99.0,99.0,99.0,99.0,1.48049633,2.00161691,0.60328694,99.0,99.0,99.0,-2.74243166,-0.12037931,0.10578602,2.15290889,0.74057353,0.49248251,1.48123023,2.76988972,1.14547827,2.27016609,-0.40360167,-0.31184695,-0.26899889,-1.16199769,-0.65416027,99.0,99.0,99.0,99,99,99,0.50504695,0.67698611,0.26507675,-0.32141951,-1.23881107,-0.52575685,99,99,99,-1.1494512,3.88817642,3.62108673,3.33055421,-2.42952249,-1.07503731,2.17497696,-0.25051771,-0.15174137,99,99,99,-0.60699468,1.8817975,0.72519926,2.47889035,1.46418489,0.18349425
2,1980-01-03,0.00791702,-0.00052111,-0.00047756,-0.16519084,-0.38856089,-0.18977658,0.73322701,0.01913591,-0.03755125,-0.1971857,0.88173635,0.38207672,-0.1980537,0.88406235,0.3829171,99,99,99,-4.71801839,2.31772171,1.10848932,-9.30187193,1.14013348,0.87067426,99.0,99.0,99.0,99.0,99.0,99.0,-4.99703453,-1.35285282,-1.3227948,99,99,99,99,99,99,99,99,99,99,99,99,2.92972706,3.18947077,1.07299162,2.92969051,3.18956154,1.07303814,2.92972964,3.18948362,1.07298997,-3.0251713,-4.07830479,-2.08178101,-4.4708522,-2.93374379,-1.14789336,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,2.14671473,0.74960876,0.49578772,1.47536459,2.77322438,1.14319003,2.27200958,-0.39342328,-0.30801277,-0.2559495,-1.16365209,-0.65515917,99.0,99.0,99.0,99,99,99,99.0,99.0,99.0,-0.30886213,-1.24337929,-0.52624585,99,99,99,-1.15639453,3.88648779,3.62214324,3.33723293,-2.42703878,-1.07436074,99.0,99.0,99.0,99,99,99,99.0,99.0,99.0,2.47356295,1.47130877,0.18792706
3,1980-01-04,0.00792062,-0.00051401,-0.00047463,-0.14448885,-0.39527739,-0.19551279,99.0,99.0,99.0,-0.21424916,0.87825742,0.38056744,-0.21564756,0.88035946,0.38135562,99,99,99,-4.72170691,2.31191451,1.10608978,99.0,99.0,99.0,1.23494895,0.49030778,0.49986812,-27.09829227,-12.59088945,4.23478303,-4.9948844,-1.35950491,-1.32512442,99,99,99,99,99,99,99,99,99,99,99,99,2.92673984,3.19398585,1.07590083,2.92670312,3.19407642,1.07594728,2.92674241,3.19399867,1.07589917,-3.01938433,-4.08240636,-2.08205039,-4.46715599,-2.93882751,-1.15116251,-4.87637307,-2.54376853,-0.56720641,1.46420563,2.012453,0.60972655,1.64401836,-1.02239658,-0.3070564,-2.74005541,-0.13785235,0.09789913,2.14046989,0.75862623,0.49908116,1.46948728,2.776537,1.1408927,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99,99,99,0.47810215,0.70149487,0.2734951,-0.29626956,-1.24780942,-0.52667643,99,99,99,-1.16333573,3.88479201,3.62319307,3.34389888,-2.42454576,-1.07368005,2.17533776,-0.22945005,-0.14174723,99,99,99,-0.63091628,1.87944237,0.7224573,2.46820493,1.47841438,0.19235754
4,1980-01-05,0.00792422,-0.0005069,-0.0004717,99.0,99.0,99.0,0.73175967,0.05582038,-0.02095709,99.0,99.0,99.0,-0.23310555,0.87628381,0.37963845,99,99,99,-4.72538635,2.30610333,1.10368832,-9.30411668,1.1298765,0.86653475,1.22531992,0.50063389,0.50400347,-27.0968996,-12.59381536,4.23344739,99.0,99.0,99.0,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,2.923706,3.19858064,1.07885282,2.92374542,3.19850306,1.07880478,-3.01359196,-4.08650064,-2.08231605,99.0,99.0,99.0,-4.87358895,-2.54894893,-0.57100144,99.0,99.0,99.0,1.65113934,-1.01103517,-0.30363465,-2.73880887,-0.14658599,0.09395357,2.13417439,0.76762566,0.50236274,1.46359835,2.77982755,1.1385863,2.27553519,-0.37303876,-0.30032258,-0.22975923,-1.16655049,-0.65692597,99.0,99.0,99.0,99,99,99,0.46432784,0.71330545,0.27753096,-0.2836433,-1.25210136,-0.52704872,99,99,99,99.0,99.0,99.0,3.35055207,-2.42204346,-1.07299526,2.17542586,-0.21890632,-0.13674407,99,99,99,-0.6428472,1.87817625,0.72105226,2.46281634,1.48550161,0.19678562
5,1980-01-06,0.0079278,-0.00049978,-0.00046876,99.0,99.0,99.0,0.73018723,0.07410444,-0.01263308,99.0,99.0,99.0,-0.25040222,0.87185406,0.37777116,99,99,99,-4.72905632,2.30028755,1.10128468,-9.30523446,1.12474756,0.86446455,1.21556234,0.51090709,0.50808556,-27.09550698,-12.59673909,4.23212652,-4.99055516,-1.37280117,-1.32977595,99,99,99,99,99,99,99,99,99,99,99,99,2.92073617,3.20298403,1.08170846,2.92069914,3.20307419,1.08175477,2.92073871,3.20299679,1.08170678,-3.0077942,-4.09058761,-2.08257798,-4.4597394,-2.94897902,-1.15769455,-4.87079632,-2.55412488,-0.57479547,1.44781196,2.0231468,0.61612302,99.0,99.0,99.0,-2.73752336,-0.15531753,0.09000669,2.12782824,0.77660679,0.50563234,1.45769784,2.783096,1.13627085,2.27721716,-0.36283309,-0.29646674,-0.21662133,-1.1677937,-0.65769341,99.0,99.0,99.0,99,99,99,0.45036302,0.72481814,0.2814508,-0.27098483,-1.25625505,-0.52736284,99,99,99,-1.17721169,3.88137903,3.62527275,3.3571925,-2.41953193,-1.07230637,2.17545228,-0.20835637,-0.13173704,99,99,99,-0.6547578,1.87685139,0.71962465,2.45739721,1.49257036,0.20121126
6,1980-01-07,0.00793138,-0.00049266,-0.00046583,-0.07996055,-0.40845049,-0.2092465,0.72805676,0.09233087,-0.00429967,-0.2650094,0.8661907,0.37533255,-0.26751674,0.86709169,0.37576047,99,99,99,-4.7327176,2.29446752,1.09887899,-9.30634925,1.11961816,0.86239408,1.20567634,0.52112592,0.51211357,-27.09411262,-12.59965903,4.23081999,-4.98837606,-1.37944531,-1.33209785,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,2.91768259,3.20755707,1.08465311,2.9177223,3.20747985,1.08460519,-3.00199104,-4.09466726,-2.08283619,-4.45601903,-2.9540468,-1.16095744,-4.86799519,-2.55929637,-0.57858849,99.0,99.0,99.0,1.66518505,-0.9881923,-0.29675513,99.0,99.0,99.0,2.12143144,0.78556936,0.50888985,1.45178579,2.7863423,1.13394635,2.27884513,-0.3526188,-0.29260387,-0.20345692,-1.16889907,-0.65838324,-0.37864737,-0.80811051,-0.34767127,99,99,99,0.43621566,0.73603162,0.28525434,-0.25829565,-1.26027038,-0.52761892,99,99,99,-1.18414643,3.87966184,3.6263026,99.0,99.0,99.0,2.17541691,-0.1978005,-0.12672626,99,99,99,-0.66664774,1.87546798,0.71817458,2.4519476,1.49962054,0.20563438
7,1980-01-08,0.00793495,-0.00048554,-0.00046289,-0.05785465,-0.41047899,-0.2126244,0.72536965,0.11048555,0.00403671,-0.28176918,0.86162854,0.37335347,-0.28443293,0.86201998,0.37361396,99,99,99,-4.73636933,2.28864354,1.09647142,99.0,99.0,99.0,1.1956621,0.53128889,0.5160867,-27.09271451,-12.60257351,4.22952632,-4.98618731,-1.38608677,-1.33441718,99,99,99,99,99,99,99,99,99,99,99,99,2.91469369,3.21193955,1.08750169,99.0,99.0,99.0,99.0,99.0,99.0,-2.99618251,-4.0987396,-2.08309068,-4.45229062,-2.95910926,-1.16421824,99.0,99.0,99.0,1.43131656,2.03369766,0.62247594,1.67210913,-0.97671168,-0.29329761,-2.73483535,-0.17277384,0.08210914,99.0,99.0,99.0,1.44586223,2.78956641,1.13161282,2.28041905,-0.34239612,-0.28873404,-0.19026752,-1.16986622,-0.65899524,99.0,99.0,99.0,99,99,99,0.42189363,0.74694478,0.28894138,-0.24557722,-1.26414731,-0.52781707,99,99,99,-1.191079,3.87793753,3.62732578,3.37043513,-2.41448127,-1.07091637,2.17531963,-0.18723899,-0.12171187,99,99,99,-0.67851673,1.87402624,0.71670218,2.44646755,1.50665203,0.21005493
8,1980-01-09,99.0,99.0,99.0,-0.03555679,-0.411311,-0.21538315,0.72212773,0.12855442,0.0123696,-0.29844028,0.8567983,0.3712582,-0.30113923,0.8566633,0.3713398,99,99,99,99.0,99.0,99.0,99.0,99.0,99.0,1.1855198,0.54139453,0.52000415,99.0,99.0,99.0,-4.98398892,-1.39272555,-1.33673392,99,99,99,99,99,99,99,99,99,99,99,99,99.0,99.0,99.0,2.91162047,3.21649084,1.09043898,99.0,99.0,99.0,-2.99036862,-4.10280461,-2.08334144,-4.44855418,-2.96416637,-1.16747693,-4.86236743,-2.56962591,-0.5861715,99.0,99.0,99.0,1.67896695,-0.9651922,-0.28982844,-2.73343281,-0.18149834,0.07815859,2.10848597,0.80343776,0.51536816,1.43992721,2.7927683,1.12927027,2.28193883,-0.3321653,-0.28485734,-0.17705463,-1.17069477,-0.65952919,-0.34305389,-0.82354313,-0.35564498,99,99,99,0.40740473,0.75755666,0.29251176,-0.23283102,-1.26788576,-0.52795743,99,99,99,-1.19800938,3.8762061,3.6283423,99.0,99.0,99.0,2.17516034,-0.17667213,-0.11669402,99,99,99,-0.69036445,1.87252638,0.71520753,2.44095711,1.51366475,0.21447287
9,1980-01-10,0.00794206,-0.00047127,-0.00045701,-0.01313157,-0.41093936,-0.21751222,0.71833323,0.14652346,0.02069258,-0.31501754,0.85170119,0.3690473,-0.31762857,0.85104658,0.36894656,99,99,99,-4.74364766,2.27698226,1.09164987,-9.30967483,1.10422626,0.85618104,1.17524964,0.55144135,0.52386508,-27.08989892,-12.60837951,4.22697141,-4.9817809,-1.39936162,-1.33904807,99,99,99,99,99,99,99,99,99,99,99,99,2.90861259,3.2208524,1.09328047,2.90857495,3.22094173,1.09332648,2.90861509,3.22086503,1.09327875,-2.98454937,-4.10686228,-2.08358848,-4.44480972,-2.96921814,-1.17073353,-4.85954082,-2.57478395,-0.58996146,1.41472067,2.04410496,0.62878491,1.68575819,-0.95363427,-0.28634774,-2.73199121,-0.19022025,0.07420693,2.10193734,0.81234306,0.51858874,1.43398077,2.79594792,1.12691872,2.28340441,-0.32192657,-0.28097386,-0.16381977,-1.17138434,-0.65998486,-0.32507936,-0.83085073,-0.35945557,99,99,99,0.39275661,0.76786649,0.29596541,-0.22005851,-1.27148568,-0.52804014,99,99,99,-1.20493755,3.87446755,3.62935217,3.38362681,-2.40939405,-1.06951016,2.17493892,-0.16610023,-0.11167283,99,99,99,-0.7021906,1.87096861,0.71369076,2.43541633,1.52065859,0.21888812
